# Medžuslovjansky - inflected forms, standard orthography.
# GENERATED by build_keyman_wordlist.py - do not edit.
# source: main_isv.combined (f >= 100)
stranica	157
narodny	157
sdělati	157
Ukrajina	157
obrazovanje	156
menju	156
ponedělok	156
port	156
rěšenje	156
drugomu	156
inako	156
protiv	156
vitezstvo	156
liga	156
olej	156
děh	156
děhmo	156
děhu	156
děj	156
děje	156
dějem	156
dějema	156
dějemo	156
dějemy	156
dějete	156
děješ	156
dějmo	156
dějte	156
děju	156
dějut	156
dějuča	156
dějuče	156
dějuči	156
děl	156
děla	156
děli	156
děste	156
děta	156
dětah	156
dětam	156
dětami	156
dětij	156
dětje	156
děto	156
děty	156
děvša	156
děvše	156
děvši	156
děše	156
cěnnost	156
odgovornost	156
odpovědaljnost	156
smysl	156
ser	156
věk	156
energija	156
vozhod	156
zamnogo	156
prěda	156
prědah	156
prědam	156
prědami	156
prěde	156
prědom	156
prědov	156
prědu	156
prědy	156
iztok	156
ničego	156
ničem	156
ničemu	156
ničim	156
Poljska	156
kolo	156
Moskva	156
ulica	156
najveliky	156
največši	156
jedinnadsety	156
milion	156
najskorěje	156
poka	156
vysoky	156
mněnju	156
uvaga	156
jedinovy	156
pěnezah	156
pěnezam	156
pěnezami	156
pěnezov	156
kapitan	156
trener	156
imen	156
imena	156
imenah	156
imenam	156
imenami	156
imene	156
imenem	156
imeni	156
imenom	156
nemnogo	156
sejčasno	155
temperatura	155
cělo	155
ogonj	155
duže	155
ranějše	155
struktura	155
drama	155
gora	155
legenda	155
narod	155
pokazati	155
postupno	155
devet	155
dolgy	155
legko	155
tanec	155
medija	155
kojkoli	155
plana	155
planah	155
planam	155
planami	155
plane	155
planom	155
planov	155
planu	155
plany	155
adres	155
adresa	155
mir	155
spati	155
rodina	155
črny	155
poredku	155
sila	155
nauka	155
Kanada	154
ovoliky	154
plošča	154
nemaje	154
tutdenny	154
vprěd	154
nikogo	154
nikom	154
nikomu	154
nikym	154
centr	154
kava	154
poděl	154
pričina	154
vslěd	154
sudja	154
petok	154
armija	154
suda	154
sudah	154
sudam	154
sudami	154
sude	154
sudom	154
sudov	154
sudu	154
sudy	154
internet	154
platiti	154
solj	154
kino	154
političny	154
francuzsky	154
stanje	154
izrabiti	154
života	154
životah	154
životam	154
životami	154
živote	154
životom	154
životov	154
životu	154
životy	154
efekt	154
prosto	154
ščestje	154
němečsky	154
neželi	154
oko	154
udar	154
kaka	154
kake	154
kaki	154
kakogo	154
kakoj	154
kakoju	154
kakom	154
kakomu	154
kaku	154
kakyh	154
kakym	154
kakymi	154
pravdopodobno	154
sala	154
drěvo	154
naprěd	154
tělo	154
čekati	154
znati	154
vsrěd	154
ostrov	154
London	154
odpověd	154
ponovno	153
svetok	153
dojem	153
najlěpje	153
princ	153
ponje	153
vino	153
nedavno	153
odrazlikě	153
biznes	153
jednako	153
analiza	153
oficialjno	153
pamet	153
dovnutra	153
odnosno	153
stvarno	153
profil	153
dno	153
teorija	153
masa	153
institut	153
brata	153
bratah	153
bratam	153
bratami	153
brate	153
brati	153
bratom	153
bratov	153
bratu	153
jar	153
Dobra	153
gluboko	153
veličejši	153
objekt	153
faza	153
selikrat	153
evro	153
fon	153
voobče	153
neposrědnje	153
absolutno	153
tudy	153
siljny	153
medžuvrěmenno	153
dělah	153
dělam	153
dělami	153
děles	153
dělesa	153
dělesah	153
dělesam	153
dělesami	153
dělese	153
dělesem	153
dělesi	153
dělom	153
dělu	153
bomba	153
vysota	153
Isus	153
Jezus	153
gory	153
inoliky	153
ruky	153
evropejsky	153
evropsky	153
prostor	153
slov	152
slova	152
slovah	152
slovam	152
slovami	152
sloves	152
slovesa	152
slovesah	152
slovesam	152
slovesami	152
slovese	152
slovesem	152
slovesi	152
slovom	152
slovu	152
uspěha	152
zabezpametiti	152
čaj	152
sposob	152
sistem	152
sistemah	152
sistemam	152
sistemami	152
sistemo	152
sistemoju	152
sistemu	152
sistemy	152
sistemě	152
naučiti	152
myslji	152
umu	152
bliz	152
dostatočno	152
nikako	152
ravnoliko	152
Krym	152
funkcija	152
križ	152
ohrana	152
dvadeset	152
dvadeseti	152
bezpečnost	152
četvrty	152
rad	152
medalj	152
filma	152
filmah	152
filmam	152
filmami	152
filme	152
filmom	152
filmov	152
filmu	152
filmy	152
Italija	152
prošedšest	152
prošlost	152
dnešnje	152
konferencija	152
sojuz	152
sěver	152
spoločenjstvo	152
dobr	152
dobra	152
dobrah	152
dobram	152
dobrami	152
dobrom	152
dobru	152
nočah	152
nočam	152
nočami	152
noči	152
nočij	152
nočju	152
važny	152
ibo	152
teplota	152
omal	152
uspěšno	152
kartina	152
material	152
metro	152
něktory	152
provodženje	152
konečno	152
literatura	152
komitet	152
kriza	152
vtornik	152
vtorok	152
aha	152
kontrola	152
kontrolj	152
linija	152
ovamo	152
tyče	152
četvrtok	152
boljnica	152
kralica	152
kraljeva	152
prěklad	152
pan	152
razvivanje	152
ruka	152
vojn	152
vojnah	152
vojnam	152
vojnami	152
vojno	152
vojnoju	152
vojnu	152
vojny	152
vojně	152
loši	151
premiera	151
Amerika	151
obzira	151
razlog	151
knez	151
vod	151
vodah	151
vodam	151
vodami	151
vodo	151
vodoju	151
vodu	151
vody	151
vodě	151
katalog	151
toliky	151
final	151
bolj	151
aktivno	151
najlěpši	151
okoljnost	151
slučaj	151
vsaku	151
vsaky	151
segodenny	151
raj	151
troha	151
grada	151
gradah	151
gradam	151
gradami	151
grade	151
gradom	151
gradov	151
gradu	151
grady	151
sezona	151
sezonah	151
sezonam	151
sezonami	151
sezone	151
sezonom	151
sezonov	151
sezonu	151
sezony	151
skupin	151
skupinah	151
skupinam	151
skupinami	151
skupino	151
skupinoju	151
skupinu	151
skupiny	151
skupině	151
boj	151
slědny	151
raděje	151
črěz	151
nedělja	151
sčet	151
zaplatiti	151
dvojce	151
dokument	151
mlěko	151
značno	151
jug	151
naslědny	151
kluba	151
klubah	151
klubam	151
klubami	151
klube	151
klubom	151
klubov	151
klubu	151
kluby	151
mapa	151
dolg	151
obstanoviti	151
osmy	151
led	151
vozrast	151
četyrěh	151
četyrěm	151
četyrěmi	151
lider	151
tehnologija	151
větr	151
napravo	151
bezopasnost	151
različji	151
igry	151
vojenne	151
dobre	151
dobri	151
dobrogo	151
dobroj	151
dobroju	151
dobromu	151
dobryh	151
dobrym	151
dobrymi	151
vyjdti	150
žen	150
ženah	150
ženam	150
ženami	150
ženo	150
ženoju	150
ženu	150
ženy	150
ženě	150
cělkom	150
ta	150
toju	150
tyh	150
tymi	150
avtobus	150
prisutstvo	150
priměr	150
prostranjstvo	150
jedati	150
jesti	150
dodati	150
travenj	150
hvala	150
hoditi	150
oni	150
problema	150
problemah	150
problemam	150
problemami	150
probleme	150
